# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:58 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8000 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 19305'           /                                                
# SPTYPE  = 'M0 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806966 / Minimum wavelength (um)                        
# MAXWAVE =              5.42333 / Maximum wavelength (um)                        
# V       =        9.07200000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =        1.36000000000 / B-V color                                      
# (B-V)ERR=      0.0190000000000 / B-V color error                                
# J       =        6.49200000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        5.84300000000 / 2MASS H magnitude                              
# HERR    =      0.0340000000000 / 2MASS H magnitude error                        
# KS      =        5.64600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0136080000000 / Relative error in the absolute flux calibration
# RV      =       -36.5171400000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.35000000000 / Intrinsic Color                                
# E(B-V)  =     0.00999999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.840943                1.24059e-11         2.04880e-14
             0.841176                1.21858e-11         2.04552e-14
             0.841408                1.17525e-11         2.05398e-14
             0.841641                1.18865e-11         2.07300e-14
             0.841873                1.20715e-11         2.07417e-14
             0.842106                1.21637e-11         2.03991e-14
             0.842338                1.21332e-11         2.00798e-14
             0.842571                1.17540e-11         1.96501e-14
             0.842803                1.14969e-11         1.94950e-14
             0.843036                1.18244e-11         2.01977e-14
             0.843268                1.21777e-11         2.08904e-14
             0.843500                1.14486e-11         1.97203e-14
             0.843733                1.05753e-11         1.83385e-14
             0.843965                1.11164e-11         1.88348e-14
             0.844198                1.17620e-11         1.95685e-14
             0.844430                1.20280e-11         2.00600e-14
             0.844662                1.21848e-11         2.07226e-14
             0.844895                1.24727e-11         2.14994e-14
             0.845127                1.21623e-11         2.04069e-14
             0.845360                1.19943e-11         1.97575e-14
             0.845592                1.21397e-11         1.97770e-14
             0.845824                1.20961e-11         1.97525e-14
             0.846057                1.21319e-11         2.01577e-14
             0.846289                1.21870e-11         2.06210e-14
             0.846521                1.20418e-11         2.01505e-14
             0.846754                1.16427e-11         1.93987e-14
             0.846986                1.10872e-11         1.84929e-14
             0.847218                1.14002e-11         1.89249e-14
             0.847451                1.18647e-11         1.95107e-14
             0.847683                1.20608e-11         2.00541e-14
             0.847915                1.20735e-11         2.02650e-14
             0.848148                1.20692e-11         1.99796e-14
             0.848380                1.19717e-11         1.95188e-14
             0.848612                1.20564e-11         1.95722e-14
             0.848845                1.21089e-11         1.95471e-14
             0.849077                1.21241e-11         1.98099e-14
             0.849309                1.20612e-11         2.00443e-14
             0.849541                1.17189e-11         1.96598e-14
             0.849774                1.05500e-11         1.80334e-14
             0.850006                9.68105e-12         1.69637e-14
             0.850238                1.07619e-11         1.79773e-14
             0.850471                1.16933e-11         1.91164e-14
             0.850703                1.19542e-11         1.95847e-14
             0.850935                1.20216e-11         1.99967e-14
             0.851167                1.20446e-11         1.98471e-14
             0.851399                1.15831e-11         1.90027e-14
             0.851632                1.10791e-11         1.83605e-14
             0.851864                1.12363e-11         1.84345e-14
             0.852096                1.15106e-11         1.88014e-14
             0.852328                1.18742e-11         1.94975e-14
             0.852561                1.18876e-11         1.97662e-14
             0.852793                1.17614e-11         1.94379e-14
             0.853025                1.18025e-11         1.95272e-14
             0.853257                1.17853e-11         1.89782e-14
             0.853489                1.16404e-11         1.87358e-14
             0.853721                1.12942e-11         1.85567e-14
             0.853954                1.05097e-11         1.79598e-14
             0.854186                8.72563e-12         1.59638e-14
             0.854418                7.66933e-12         1.45902e-14
             0.854650                8.88921e-12         1.58194e-14
             0.854882                1.04270e-11         1.73706e-14
             0.855114                1.10551e-11         1.80862e-14
             0.855347                1.15363e-11         1.87627e-14
             0.855579                1.16761e-11         1.95419e-14
             0.855811                1.16997e-11         1.90943e-14
             0.856043                1.17751e-11         1.89322e-14
             0.856275                1.18360e-11         1.87597e-14
             0.856507                1.18002e-11         1.87251e-14
             0.856739                1.18773e-11         1.88278e-14
             0.856971                1.18567e-11         1.89632e-14
             0.857203                1.18730e-11         1.91706e-14
             0.857435                1.19268e-11         1.90642e-14
             0.857668                1.19378e-11         1.88244e-14
             0.857900                1.19763e-11         1.88881e-14
             0.858132                1.19910e-11         1.88592e-14
             0.858364                1.17642e-11         1.87890e-14
             0.858596                1.18104e-11         1.90982e-14
             0.858828                1.20234e-11         1.95411e-14
             0.859060                1.20966e-11         1.93184e-14
             0.859292                1.19911e-11         1.89949e-14
             0.859524                1.19645e-11         1.88290e-14
             0.859756                1.19065e-11         1.88317e-14
             0.859988                1.18141e-11         1.88084e-14
             0.860220                1.18516e-11         1.90603e-14
             0.860452                1.19522e-11         1.92027e-14
             0.860684                1.19701e-11         1.89454e-14
             0.860916                1.19341e-11         1.87473e-14
             0.861148                1.17019e-11         1.84524e-14
             0.861380                1.14346e-11         1.81747e-14
             0.861612                1.16762e-11         1.86536e-14
             0.861844                1.18284e-11         1.86975e-14
             0.862076                1.18582e-11         1.88139e-14
             0.862308                1.17447e-11         1.84463e-14
             0.862540                1.18249e-11         1.83814e-14
             0.862772                1.19155e-11         1.82533e-14
             0.863004                1.18645e-11         1.82978e-14
             0.863236                1.18790e-11         1.84693e-14
             0.863468                1.17939e-11         1.87311e-14
             0.863700                1.18178e-11         1.84605e-14
             0.863932                1.19909e-11         1.87465e-14
             0.864164                1.20256e-11         1.84823e-14
             0.864395                1.20088e-11         1.86297e-14
             0.864627                1.20026e-11         1.86005e-14
             0.864859                1.19738e-11         1.88147e-14
             0.865091                1.18829e-11         1.88422e-14
             0.865323                1.18319e-11         1.87846e-14
             0.865555                1.16354e-11         1.82947e-14
             0.865787                1.13804e-11         1.80205e-14
             0.866019                1.06016e-11         1.72157e-14
             0.866251                8.86488e-12         1.54368e-14
             0.866483                8.21365e-12         1.47987e-14
             0.866714                9.81177e-12         1.66840e-14
             0.866946                1.11471e-11         1.79559e-14
             0.867178                1.15094e-11         1.82568e-14
             0.867410                1.14769e-11         1.81612e-14
             0.867642                1.10323e-11         1.76940e-14
             0.867874                1.12831e-11         1.80164e-14
             0.868106                1.16821e-11         1.86063e-14
             0.868337                1.16912e-11         1.85556e-14
             0.868569                1.16143e-11         1.82688e-14
             0.868801                1.11621e-11         1.76728e-14
             0.869033                1.02747e-11         1.67317e-14
             0.869265                1.05711e-11         1.67854e-14
             0.869496                1.13576e-11         1.77989e-14
             0.869728                1.17039e-11         1.82066e-14
             0.869960                1.16561e-11         1.82246e-14
             0.870192                1.16081e-11         1.79433e-14
             0.870424                1.17821e-11         1.81209e-14
             0.870655                1.18808e-11         1.81688e-14
             0.870887                1.18909e-11         1.82775e-14
             0.871119                1.16316e-11         1.79235e-14
             0.871351                1.14593e-11         1.80160e-14
             0.871583                1.15025e-11         1.80084e-14
             0.871814                1.15501e-11         1.78346e-14
             0.872046                1.16055e-11         1.78514e-14
             0.872278                1.17810e-11         1.81667e-14
             0.872510                1.18675e-11         1.82938e-14
             0.872741                1.19389e-11         1.86285e-14
             0.872973                1.19013e-11         1.84933e-14
             0.873205                1.18926e-11         1.86012e-14
             0.873436                1.17583e-11         1.84022e-14
             0.873668                1.14860e-11         1.81598e-14
             0.873900                1.15457e-11         1.81632e-14
             0.874132                1.17825e-11         1.85059e-14
             0.874363                1.18702e-11         1.86676e-14
             0.874595                1.18869e-11         1.87809e-14
             0.874827                1.18972e-11         1.85689e-14
             0.875058                1.18040e-11         1.84109e-14
             0.875290                1.18935e-11         1.84332e-14
             0.875522                1.18494e-11         1.84329e-14
             0.875753                1.16604e-11         1.82706e-14
             0.875985                1.16103e-11         1.82887e-14
             0.876217                1.18136e-11         1.85406e-14
             0.876448                1.16524e-11         1.82365e-14
             0.876680                1.14239e-11         1.78976e-14
             0.876912                1.15424e-11         1.80593e-14
             0.877143                1.17867e-11         1.82451e-14
             0.877375                1.14003e-11         1.78734e-14
             0.877607                1.12499e-11         1.76598e-14
             0.877838                1.16883e-11         1.81445e-14
             0.878070                1.18506e-11         1.81038e-14
             0.878302                1.19661e-11         1.83049e-14
             0.878533                1.20206e-11         1.81490e-14
             0.878765                1.20142e-11         1.82625e-14
             0.878996                1.20379e-11         1.83703e-14
             0.879228                1.18943e-11         1.82655e-14
             0.879460                1.16371e-11         1.77518e-14
             0.879691                1.17030e-11         1.77648e-14
             0.879923                1.18965e-11         1.79399e-14
             0.880154                1.18562e-11         1.80242e-14
             0.880386                1.15549e-11         1.75011e-14
             0.880618                1.08359e-11         1.69672e-14
             0.880849                9.98744e-12         1.61194e-14
             0.881081                1.06973e-11         1.70353e-14
             0.881312                1.17075e-11         1.76693e-14
             0.881544                1.19918e-11         1.78973e-14
             0.881775                1.19998e-11         1.79140e-14
             0.882007                1.19638e-11         1.81238e-14
             0.882239                1.17937e-11         1.78573e-14
             0.882470                1.10827e-11         1.72983e-14
             0.882702                1.08110e-11         1.68992e-14
             0.882933                1.14864e-11         1.76939e-14
             0.883165                1.18674e-11         1.79711e-14
             0.883396                1.19721e-11         1.81590e-14
             0.883628                1.19756e-11         1.81279e-14
             0.883859                1.17540e-11         1.81577e-14
             0.884091                1.15608e-11         1.78737e-14
             0.884322                1.17599e-11         1.81930e-14
             0.884554                1.18983e-11         1.82441e-14
             0.884785                1.18711e-11         1.81701e-14
