# mass             age              teff              Lbol            radius           logg             MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2         
  0.00100000       2.28546386E-01   267.22079415     -7.25026428      0.11080247       3.34931538       27.05669250      25.97989397      26.07079518      29.27562169      19.67902397      17.81047091      23.51450445      17.10632631      14.70387014      12.82024720      22.05100106      17.15446313     
  0.00100000       2.89426612E-01   252.19008970     -7.36387453      0.10915377       3.36233692       28.46212873      27.29746068      27.17459070      30.83217993      20.24350390      17.87718349      24.33088902      17.36539433      15.05036320      13.00168605      22.77290299      17.39446318     
  0.00100000       3.66524124E-01   241.54334778     -7.45159319      0.10755800       3.37512903       29.61763751      28.38802490      28.07340630      32.09013435      20.71829654      17.99525684      24.99502032      17.60547390      15.30331692      13.14425362      23.37977115      17.62281012     
  0.00100000       4.64158883E-01   230.54403979     -7.54551782      0.10596379       3.38809953       30.89605454      29.59534163      29.06288915      33.47120839      21.24371205      18.14706092      25.72711102      17.87763026      15.56423397      13.29404344      24.05539545      17.88401648     
  0.00100000       5.87801607E-01   218.50963891     -7.65146507      0.10441299       3.40090535       32.34439717      30.96279301      30.18363955      35.02811341      21.83716330      18.32011312      26.55595587      18.18604686      15.84662220      13.45622212      24.82206536      18.18106183     
  0.00100000       7.44380301E-01   205.57878638     -7.76977792      0.10294057       3.41324131       33.93423119      32.46345562      31.41549865      36.73059429      22.48432517      18.51220662      27.46326281      18.52275849      16.14769301      13.62751997      25.66065990      18.50726535     
  0.00200000       1.00000000E-03   1222.89413177    -4.19572320      0.17815133       3.23786838       14.03865591      12.89316888      12.39112589      12.06275236      10.30463781      11.62459242      11.13055555      11.23575112      9.50483569       9.38515406       10.64864052      11.18002007     
  0.00200000       1.26638017E-03   1165.85170523    -4.30874350      0.17209348       3.26791616       14.21918857      13.12153658      12.67044098      12.45083365      10.57656276      11.93383284      11.47260581      11.50724889      9.67793030       9.53168570       10.95451469      11.45672118     
  0.00200000       1.60371874E-03   1107.51280853    -4.42601728      0.16661924       3.29599535       14.41011624      13.33394381      12.98472379      12.88243402      10.88211370      12.25446890      11.86290954      11.77956335      9.85303800       9.67521352       11.30580511      11.73436031     
  0.00200000       2.03091762E-03   1053.89844129    -4.53857024      0.16163999       3.32234876       14.61098825      13.55247009      13.31026102      13.30949104      11.18992752      12.56217289      12.25131158      12.02855152      10.01769413      9.80767823       11.66307593      11.99018939     
  0.00200000       2.57191381E-03   998.64168417     -4.65696758      0.15708389       3.34718266       14.82797048      13.77948456      13.68088066      13.78574579      11.54107648      12.89761437      12.69050047      12.28581340      10.18898405      9.94009582       12.07365362      12.25814077     
  0.00200000       3.25702066E-03   944.66631617     -4.77659741      0.15296067       3.37028630       15.05867972      14.01957370      14.08591265      14.23268513      11.88728042      13.20713424      13.11879808      12.51780920      10.34873251      10.06056773      12.48277772      12.50297258     
  0.00200000       4.12462638E-03   892.36529053     -4.89693742      0.14924011       3.39167511       15.29098640      14.26547806      14.50161198      14.68684730      12.24476777      13.52881239      13.56021871      12.74920850      10.50733763      10.17897371      12.90572976      12.74898091     
  0.00200000       5.22334507E-03   848.30672220     -5.00522687      0.14578274       3.41203212       15.53556254      14.52882420      14.88332893      15.06966061      12.55567776      13.81473934      13.92642721      12.94659920      10.64750799      10.28752918      13.27098657      12.96264327     
  0.00200000       6.61474064E-03   801.96734861     -5.12214475      0.14257706       3.43134651       15.82104742      14.83539310      15.29099076      15.47513636      12.87751656      14.12580176      14.30057231      13.15501914      10.79437353      10.40105189      13.64900532      13.18927732     
  0.00200000       8.37677640E-03   754.80790687     -5.24558016      0.13962572       3.44951444       16.14258322      15.17142099      15.70574563      15.90005479      13.20274411      14.46347782      14.68252616      13.37812901      10.94826944      10.51920018      14.03341261      13.43020533     
  0.00200000       1.06081836E-02   708.12414233     -5.37328123      0.13695136       3.46631194       16.49403611      15.53454861      16.12993164      16.35184577      13.53171425      14.82739059      15.07400312      13.61313154      11.10985884      10.64252996      14.42050901      13.68285407     
  0.00200000       1.34339933E-02   661.15969363     -5.50784677      0.13455522       3.48164396       16.87101763      15.92531517      16.57761089      16.85102042      13.88405850      15.22101937      15.49619503      13.85834969      11.28229899      10.77227179      14.82880165      13.94805800     
  0.00200000       1.70125428E-02   615.37456488     -5.64637876      0.13242544       3.49550199       17.28923572      16.35387108      17.05594512      17.39885112      14.25671727      15.61271585      15.94601317      14.10903017      11.46226853      10.90310967      15.26154117      14.21978133     
  0.00200000       2.15443469E-02   578.68756341     -5.76590652      0.13049266       3.50827251       17.70034561      16.77137342      17.50982558      17.90776571      14.59005124      15.91699703      16.35414002      14.33149644      11.62439994      11.01689404      15.65517804      14.46000302     
  0.00200000       2.72833338E-02   545.71305828     -5.88014016      0.12865898       3.52056465       18.09868827      17.17315228      17.94375245      18.41803275      14.90615262      16.17545001      16.74999021      14.54121363      11.78576575      11.12862597      16.03054713      14.68195109     
  0.00200000       3.45510729E-02   512.40641509     -6.00122833      0.12693711       3.53226744       18.54359524      17.61602298      18.40590510      18.99428686      15.23460583      16.45629592      17.17021452      14.75555801      11.96366355      11.24975143      16.42161241      14.90642570     
  0.00200000       4.37547938E-02   481.21757244     -6.12132575      0.12533942       3.54326915       19.07143271      18.13140304      18.91598812      19.62293371      15.59349310      16.82289007      17.63644930      14.99898092      12.14795618      11.37378441      16.86232573      15.15988141     
  0.00200000       5.54102033E-02   452.36949235     -6.23915203      0.12384318       3.55370034       19.60684572      18.65780218      19.42895879      20.30852533      15.94017170      17.00433463      18.09902214      15.20111869      12.34842038      11.50080454      17.28229917      15.36350875     
  0.00200000       7.01703829E-02   427.66094085     -6.34687921      0.12240349       3.56385679       20.11600608      19.15187058      19.90487753      20.97210849      16.26680121      17.15464035      18.53876710      15.38961388      12.53978766      11.61908553      17.67901218      15.55202508     
  0.00200000       8.88623816E-02   402.21090828     -6.46324329      0.12103131       3.57364895       20.77291549      19.82141534      20.52780531      21.80189472      16.65928290      17.24014988      19.08963839      15.59438679      12.77292926      11.75869782      18.17289314      15.74796865     
  0.00200000       1.12533558E-01   383.34369235     -6.55637669      0.11969131       3.58331903       21.27722825      20.34077422      21.00659883      22.45328824      16.94737361      17.25500153      19.50539933      15.71821105      12.95973957      11.86889391      18.54245441      15.85716383     
  0.00200000       1.42510267E-01   363.91859311     -6.65637013      0.11836545       3.59299441       21.91261693      20.99724610      21.60622945      23.28699737      17.29904403      17.24521660      20.01029224      15.87831649      13.19460124      12.00039233      18.98521346      16.00516522     
  0.00200000       1.80472177E-01   346.26560429     -6.75226631      0.11707975       3.60248077       22.58768496      21.72473375      22.26040190      24.16513486      17.65263209      17.14031368      20.54250223      16.00915848      13.44143602      12.13290419      19.44586404      16.11970193     
  0.00200000       2.28546386E-01   332.90766540     -6.83032680      0.11577672       3.61220187       23.22455817      22.36433516      22.81212720      24.98177260      17.96886633      17.19079264      21.00778557      16.16761478      13.65986633      12.25342120      19.84835751      16.26207756     
  0.00200000       2.89426612E-01   318.20359238     -6.91886436      0.11444278       3.62226758       23.93124339      23.09321213      23.45772015      25.88177012      18.30582916      17.14200059      21.52017902      16.29501368      13.90783002      12.38529233      20.28803010      16.37364889     
  0.00200000       3.66524124E-01   302.43897811     -7.01729604      0.11311134       3.63243192       24.77763926      23.92526181      24.16005705      26.89749648      18.67653494      17.09192949      22.07099731      16.45764703      14.17144678      12.52295186      20.76070059      16.51568530     
  0.00200000       4.64158883E-01   288.07936591     -7.11177616      0.11181951       3.64240952       25.60877116      24.71733420      24.83502786      27.88544129      19.03557014      17.03392529      22.62672424      16.60012445      14.42426511      12.65794370      21.23524128      16.63779208     
  0.00200000       5.87801607E-01   273.26982558     -7.21340016      0.11054579       3.65235996       26.64955810      25.69079773      25.64866004      29.08346940      19.45728448      17.05788543      23.26430028      16.78061974      14.71871984      12.80950729      21.78612129      16.80174526     
  0.00200000       7.44380301E-01   257.56009946     -7.32599540      0.10931213       3.66210773       27.99273020      26.94351204      26.67868124      30.58911034      19.98336415      17.18407470      24.03147919      17.02573311      15.06106630      12.98231593      22.46335212      17.03401403     
  0.00200000       9.42668455E-01   244.71002658     -7.42435051      0.10813070       3.67154646       29.27305895      28.15369044      27.66096407      31.99917691      20.49876816      17.36087057      24.75102918      17.28905227      15.34170407      13.13284384      23.12266480      17.28835577     
  0.00200000       1.19377664E+00   233.84816866     -7.51288592      0.10693374       3.68121492       30.49866301      29.31902267      28.60584713      33.31698561      21.00321895      17.53724525      25.43143169      17.55339645      15.58238646      13.26803032      23.76060267      17.54548109     
  0.00200000       1.51177507E+00   221.76933848     -7.61477636      0.10573929       3.69097152       31.92583276      30.66708389      29.69645843      34.83590997      21.58759101      17.74302496      26.22314593      17.85827765      15.84898789      13.41879841      24.50598001      17.84215204     
  0.00200000       1.91448198E+00   208.72421315     -7.72958630      0.10458866       3.70047506       33.53864473      32.19485326      30.93010832      36.55463112      22.24963811      17.96932586      27.12716283      18.20580208      16.13432116      13.58289736      25.35866537      18.18049929     
  0.00300000       1.00000000E-03   1492.05269067    -3.80730137      0.18716201       3.37110135       13.27951231      11.95402881      11.42688244      10.88893386      9.55544501       10.59596325      10.22002525      10.30595936      9.02179056       8.97584395       9.83066662       10.23858587     
  0.00300000       1.26638017E-03   1424.22180184    -3.92343734      0.17970434       3.40642051       13.54433521      12.22905215      11.70119666      11.22346300      9.78248317       10.91302855      10.48382965      10.59645478      9.20286053       9.14331491       10.07399660      10.52811216     
  0.00300000       1.60371874E-03   1352.78023303    -4.04543885      0.17308199       3.43903364       13.79510162      12.51371228      11.99709410      11.59961187      10.04073057      11.24253242      10.79842033      10.89760016      9.38809488       9.30825075       10.35986274      10.83011389     
  0.00300000       2.03091762E-03   1283.33708892    -4.16686149      0.16723065       3.46890569       14.02110671      12.78756393      12.29553388      11.99103756      10.31318045      11.56715375      11.13936807      11.19107626      9.56869780       9.46448995       10.66688230      11.12620293     
  0.00300000       2.57191381E-03   1222.90417427    -4.27870924      0.16191775       3.49694837       14.19563154      13.01674358      12.58004910      12.37639334      10.59431013      11.86091688      11.50149906      11.44922960      9.73548499       9.60395132       10.99185351      11.38909504     
  0.00300000       3.25702066E-03   1161.10124741    -4.39514590      0.15707861       3.52330355       14.36731569      13.23927452      12.88222073      12.79247138      10.89452348      12.16820859      11.88821103      11.71397378      9.90459531       9.74225139       11.33910009      11.65976603     
  0.00300000       4.12462638E-03   1097.81413219    -4.51712518      0.15269310       3.54789737       14.55602778      13.46106046      13.23693918      13.26031708      11.23883493      12.48941276      12.32471352      11.97727012      10.07613183      9.87643471       11.74213599      11.93271123     
  0.00300000       5.22334507E-03   1038.21799114    -4.63692847      0.14872447       3.57077089       14.76584829      13.68897168      13.61426274      13.73042265      11.59105754      12.81189457      12.75933633      12.22768114      10.24240133      10.00410433      12.15518450      12.19477915     
  0.00300000       6.61474064E-03   979.14880571     -4.75985084      0.14514730       3.59191799       15.00480786      13.93759436      14.02883195      14.20182311      11.95110331      13.13670593      13.20207847      12.47215438      10.40688604      10.12776110      12.58037841      12.45273443     
  0.00300000       8.37677640E-03   921.88050787     -4.88410791      0.14191740       3.61146575       15.26749921      14.20582870      14.46826596      14.64621609      12.30102338      13.44905263      13.63194202      12.70309814      10.56427007      10.24489328      12.99699912      12.69797712     
  0.00300000       1.06081836E-02   868.67060501     -5.00555237      0.13897762       3.62964670       15.53661592      14.49330144      14.89002461      15.06995384      12.64264911      13.76200338      14.04441179      12.92657686      10.71683335      10.36105056      13.40200889      12.93762314     
  0.00300000       1.34339933E-02   816.62663784     -5.12994331      0.13627081       3.64673031       15.84140481      14.82916106      15.31044381      15.47465394      12.97246927      14.07069104      14.42657193      13.13887413      10.86493748      10.47634771      13.79139138      13.16914633     
  0.00300000       1.70125428E-02   766.37956222     -5.25609367      0.13381418       3.66253222       16.16182336      15.17257337      15.72192046      15.90321202      13.29383423      14.39941228      14.80765352      13.36370219      11.01976807      10.59567635      14.16997958      13.41063462     
  0.00300000       2.15443469E-02   717.49368602     -5.38519400      0.13158112       3.67714882       16.51079750      15.53854125      16.13391401      16.35016612      13.61140141      14.75234194      15.18991584      13.60017520      11.18054562      10.71922837      14.54449103      13.66235327     
  0.00300000       2.72833338E-02   668.84063622     -5.52060986      0.12956198       3.69058069       16.89407945      15.93801728      16.57656818      16.83556928      13.95031275      15.11977479      15.60167856      13.84116046      11.34910427      10.84646556      14.94124671      13.92114177     
  0.00300000       3.45510729E-02   621.51283679     -5.66032759      0.12775415       3.70278599       17.31399740      16.37055583      17.04662272      17.38510953      14.31094156      15.47787785      16.04364976      14.08520827      11.53079810      10.97886565      15.35983462      14.18320633     
  0.00300000       4.37547938E-02   582.19315427     -5.78501819      0.12612040       3.71396522       17.73539339      16.79735388      17.50967131      17.92701024      14.64897982      15.75812740      16.46355876      14.30470639      11.70223364      11.09787212      15.75745159      14.41821485     
