mass,logg,Lbol,age,teff,radius
0.63,4.71674116,-1.06386601,140.0,4126.20442053967,0.5757456163647859
0.64,4.71021702,-1.03354558,140.0,4166.6512366082325,0.5846728401598681
0.65,4.7040823,-1.00364922,140.0,4207.6700819147245,0.5934012133497899
0.66,4.69834456,-0.97423546,140.0,4249.147627697538,0.6019116095636571
0.67,4.69299723,-0.94527747,140.0,4291.136010377487,0.6101956116534185
0.68,4.68804349,-0.91670132,140.0,4333.820703922537,0.6182460068425203
0.69,4.68346242,-0.88843317,140.0,4377.33001388042,0.6260726470681526
0.7,4.67912684,-0.86044659,140.0,4421.402678464246,0.633752827560407
0.71,4.67490237,-0.83272752,140.0,4465.723091107642,0.6413732017321718
0.72,4.67073189,-0.80526402,140.0,4510.187842886909,0.648977126261579
0.73,4.66658423,-0.77804591,140.0,4554.758342822962,0.6565928664066566
0.74,4.66245469,-0.75106787,140.0,4599.44161156667,0.6642287356851351
0.75,4.65834463,-0.72432768,140.0,4644.2461527017285,0.6718872966863071
0.76,4.65425326,-0.69783042,140.0,4689.137739894509,0.6795682185988632
0.77,4.65017925,-0.67158301,140.0,4734.069506137636,0.687270352978154
0.78,4.64612126,-0.64559235,140.0,4778.99350188162,0.694992567317793
0.79,4.64207795,-0.61986537,140.0,4823.859610728287,0.7027336823965702
0.8,4.638048,-0.59440898,140.0,4868.61653812622,0.7104925362367752
0.81,4.63403006,-0.56923009,140.0,4913.2110508838905,0.7182679365849235
0.82,4.63002279,-0.54433563,140.0,4957.588548854819,0.7260586937737615
0.83,4.62602487,-0.51973249,140.0,5001.692751728531,0.733863571254636
0.84,4.62203496,-0.49542761,140.0,5045.465838176121,0.7416813524472943
0.85,4.61805172,-0.4714279,140.0,5088.84859732554,0.749510791109031
0.86,4.61407381,-0.44774026,140.0,5131.780238129503,0.7573506456634483
0.87,4.61009991,-0.42437162,140.0,5174.19867006196,0.7651996099858334
0.88,4.60612866,-0.4013289,140.0,5216.040201891432,0.7730564534604671
0.89,4.60215875,-0.378619,140.0,5257.240077572226,0.7809198640461558
0.12,4.8010648,-2.36984777,70.0,3091.5120242469065,0.2280285522860099
0.13,4.80016932,-2.31717471,70.0,3122.110932314591,0.23755886956539313
0.14,4.79902145,-2.26839446,70.0,3149.8319216735176,0.24687907413649604
0.15,4.79772862,-2.22319259,70.0,3174.969371002224,0.2559657691118675
0.16,4.79634456,-2.18123237,70.0,3197.8078920379376,0.2648117796719103
0.17,4.79490955,-2.14217151,70.0,3218.640042813397,0.2734189492663361
0.18,4.79346391,-2.10566772,70.0,3237.771679421697,0.28179542631028065
0.19,4.79204791,-2.07137869,70.0,3255.519867011799,0.28995552600757174
0.2,4.79070185,-2.03896214,70.0,3272.2113748417096,0.297919595747779
0.21,4.78942483,-2.00809076,70.0,3288.1244765187853,0.3057191123862739
0.22,4.78805111,-1.97849726,70.0,3303.3150802719415,0.3134133705532931
0.23,4.78646398,-1.95000369,70.0,3317.7969991134446,0.3210446743369257
0.24,4.78490769,-1.92272964,70.0,3331.6397880652753,0.32853536818378837
0.25,4.78362907,-1.8967911,70.0,3344.9302800909154,0.33580218679262636
0.26,4.78252456,-1.87199215,70.0,3357.762696893841,0.3428883423067498
0.27,4.78143207,-1.84808696,70.0,3370.222393915617,0.349862979213816
0.28,4.78030603,-1.82494186,70.0,3382.346139698697,0.3567475588424063
0.29,4.77913582,-1.80245951,70.0,3394.17484124063,0.36355041940659116
0.3,4.77793427,-1.78057579,70.0,3405.814577427427,0.3702736950189364
0.31,4.77670699,-1.75922713,70.0,3417.3682485695167,0.3769235041704244
0.32,4.77540729,-1.738319,70.0,3428.8579213567155,0.3835275092401016
